Characteristic,Outcome,Group A,N_A,Mean_A,Group B,N_B,Mean_B,Diff (A−B),t,p,Significant (p<0.05),q (BH-FDR),Significant (FDR<0.05)
Delayed meds (cost),Adherence ratio (%),No delay,27296,60.57,All other person-years,1395,57.14,3.43,4.79,0.0,True,0.0,True
Delayed meds (cost),% adherent (≥80%),No delay,27296,27.56,All other person-years,1395,21.72,5.84,5.137,0.0,True,0.0,True
Delayed meds (cost),Adherence ratio (%),Delayed meds for cost,1395,57.14,No delay,27296,60.57,-3.43,-4.79,0.0,True,0.0,True
Delayed meds (cost),% adherent (≥80%),Delayed meds for cost,1395,21.72,No delay,27296,27.56,-5.84,-5.137,0.0,True,0.0,True
Delayed care (cost),Adherence ratio (%),Delayed care for cost,2043,57.92,All other person-years,26648,60.59,-2.67,-4.299,0.0,True,0.0,True
Delayed care (cost),% adherent (≥80%),Delayed care for cost,2043,24.13,All other person-years,26648,27.52,-3.39,-3.436,0.0006,True,0.0014,True
Delayed care (cost),Adherence ratio (%),No delay,26648,60.59,All other person-years,2043,57.92,2.67,4.299,0.0,True,0.0,True
Delayed care (cost),% adherent (≥80%),No delay,26648,27.52,All other person-years,2043,24.13,3.39,3.436,0.0006,True,0.0014,True
Delayed care (cost),Adherence ratio (%),Delayed care for cost,2043,57.92,No delay,26648,60.59,-2.67,-4.299,0.0,True,0.0,True
Delayed care (cost),% adherent (≥80%),Delayed care for cost,2043,24.13,No delay,26648,27.52,-3.39,-3.436,0.0006,True,0.0014,True
# meds,Adherence ratio (%),1 med,11185,56.13,All other person-years,17506,63.13,-7.0,-20.21,0.0,True,0.0,True
# meds,% adherent (≥80%),1 med,11185,28.75,All other person-years,17506,26.33,2.42,4.461,0.0,True,0.0,True
# meds,Adherence ratio (%),2 meds,6412,60.86,All other person-years,22279,60.27,0.59,1.595,0.1108,False,0.1625,False
# meds,% adherent (≥80%),2 meds,6412,25.97,All other person-years,22279,27.65,-1.69,-2.702,0.0069,True,0.0133,True
# meds,Adherence ratio (%),3 meds,4271,62.92,All other person-years,24420,59.96,2.96,7.455,0.0,True,0.0,True
# meds,% adherent (≥80%),3 meds,4271,26.46,All other person-years,24420,27.42,-0.96,-1.313,0.1891,False,0.2622,False
# meds,Adherence ratio (%),4 meds,2679,64.62,All other person-years,26012,59.97,4.65,10.43,0.0,True,0.0,True
# meds,% adherent (≥80%),4 meds,2679,27.03,All other person-years,26012,27.3,-0.28,-0.308,0.758,False,0.8201,False
# meds,Adherence ratio (%),5+ meds,4144,65.9,All other person-years,24547,59.48,6.43,18.507,0.0,True,0.0,True
# meds,% adherent (≥80%),5+ meds,4144,26.33,All other person-years,24547,27.44,-1.11,-1.498,0.1343,False,0.1927,False
# meds,Adherence ratio (%),1 med,11185,56.13,2 meds,6412,60.86,-4.73,-10.773,0.0,True,0.0,True
# meds,% adherent (≥80%),1 med,11185,28.75,2 meds,6412,25.97,2.79,4.008,0.0001,True,0.0003,True
# meds,Adherence ratio (%),1 med,11185,56.13,3 meds,4271,62.92,-6.79,-14.618,0.0,True,0.0,True
# meds,% adherent (≥80%),1 med,11185,28.75,3 meds,4271,26.46,2.3,2.872,0.0041,True,0.0083,True
# meds,Adherence ratio (%),1 med,11185,56.13,4 meds,2679,64.62,-8.48,-16.672,0.0,True,0.0,True
# meds,% adherent (≥80%),1 med,11185,28.75,4 meds,2679,27.03,1.73,1.802,0.0717,False,0.1101,False
# meds,Adherence ratio (%),1 med,11185,56.13,5+ meds,4144,65.9,-9.77,-23.147,0.0,True,0.0,True
# meds,% adherent (≥80%),1 med,11185,28.75,5+ meds,4144,26.33,2.43,3.005,0.0027,True,0.0057,True
# meds,Adherence ratio (%),2 meds,6412,60.86,3 meds,4271,62.92,-2.06,-4.297,0.0,True,0.0,True
# meds,% adherent (≥80%),2 meds,6412,25.97,3 meds,4271,26.46,-0.49,-0.564,0.5725,False,0.6686,False
# meds,Adherence ratio (%),2 meds,6412,60.86,4 meds,2679,64.62,-3.75,-7.19,0.0,True,0.0,True
